Time,Date,Ambient Temperature Temp. (¡F):,Rellative Humicity (%),Light (Irradiance) (W/m2),Carbon Dioxide (ppm),Vapor Pressure Deficit (kPa)
23:55:53,11/30/2021,86.2,52.2,22,0,2.04
23:56:56,11/30/2021,86.3,51.9,22,0,2.06
23:57:56,11/30/2021,86.6,51.4,21,0,2.1
23:58:56,11/30/2021,86.6,50.4,23,0,2.14
23:59:59,11/30/2021,86.6,50.3,21,0,2.15
0:00:59,12/1/2021,86.5,51.4,23,0,2.09
0:02:02,12/1/2021,86.5,51.6,22,0,2.09
0:03:02,12/1/2021,86.3,51.9,21,0,2.06
0:04:05,12/1/2021,86.5,52.6,23,0,2.04
0:05:05,12/1/2021,86.7,53,23,0,2.04
0:06:08,12/1/2021,86.7,52.8,22,0,2.05
0:07:08,12/1/2021,87,52.2,22,0,2.09
0:08:08,12/1/2021,86.8,51.7,22,0,2.1
0:09:11,12/1/2021,86.7,51.4,22,0,2.11
0:10:11,12/1/2021,86.7,52.6,14,0,2.06
0:11:11,12/1/2021,86.1,52.9,19,0,2
0:12:11,12/1/2021,86.1,53.2,23,0,1.99
0:13:11,12/1/2021,86.2,54.3,23,0,1.95
0:14:11,12/1/2021,85.9,54.3,22,0,1.93
0:15:14,12/1/2021,86.3,53.9,23,0,1.97
0:16:14,12/1/2021,86.2,52.7,22,0,2.02
0:17:17,12/1/2021,86.4,53.1,23,0,2.02
0:18:20,12/1/2021,86.2,53.9,23,0,1.97
0:19:20,12/1/2021,86.3,53.1,22,0,2.01
0:20:23,12/1/2021,86.5,52.6,15,0,2.04
0:21:23,12/1/2021,85.7,52.7,9,0,1.99
0:22:23,12/1/2021,84.8,53.9,14,0,1.88
0:23:26,12/1/2021,84.8,54.3,12,0,1.87
0:24:26,12/1/2021,85.1,53.6,22,0,1.91
0:25:26,12/1/2021,85.3,53.6,23,0,1.92
0:26:29,12/1/2021,85.2,53.2,21,0,1.94
0:27:32,12/1/2021,85.7,54.4,20,0,1.92
0:28:32,12/1/2021,86.3,52.4,20,0,2.04
0:29:32,12/1/2021,86,52.7,18,0,2.01
0:30:32,12/1/2021,85.8,54.3,20,0,1.93
0:31:35,12/1/2021,85.6,54.2,20,0,1.92
0:32:35,12/1/2021,85.8,52.4,20,0,2.01
0:33:38,12/1/2021,86.2,53.5,20,0,1.99
0:34:41,12/1/2021,86,52.7,21,0,2.01
0:35:41,12/1/2021,86,52.3,17,0,2.02
0:36:44,12/1/2021,85.8,53.2,13,0,1.97
0:37:47,12/1/2021,86.1,53.8,19,0,1.97
0:38:50,12/1/2021,86.1,53.5,20,0,1.98
0:39:50,12/1/2021,86.3,53.2,21,0,2
0:40:53,12/1/2021,86.1,52.9,21,0,2
0:41:53,12/1/2021,86,53.5,20,0,1.97
0:42:53,12/1/2021,86.3,53.2,16,0,2
0:43:53,12/1/2021,86.4,53,12,0,2.02
0:44:56,12/1/2021,85.9,53.6,21,0,1.96
0:45:56,12/1/2021,86.4,53.1,21,0,2.02
0:46:56,12/1/2021,86.1,52.7,20,0,2.01
0:47:59,12/1/2021,86.3,53.2,20,0,2
0:49:02,12/1/2021,86.1,54.6,20,0,1.93
0:50:02,12/1/2021,85.9,54.2,21,0,1.94
0:51:02,12/1/2021,85.9,55.3,20,0,1.89
0:52:05,12/1/2021,85.7,54.5,20,0,1.91
0:53:05,12/1/2021,85.3,54.2,14,0,1.9
0:54:05,12/1/2021,85,55.3,20,0,1.84
0:55:05,12/1/2021,85.2,55.9,20,0,1.82
0:56:08,12/1/2021,85.5,55.8,20,0,1.85
0:57:08,12/1/2021,85.4,55.7,20,0,1.84
0:58:11,12/1/2021,85.4,56.1,19,0,1.83
0:59:14,12/1/2021,85.2,55.7,19,0,1.83
1:00:17,12/1/2021,85.5,55.3,19,0,1.87
1:01:17,12/1/2021,85.6,55.6,19,0,1.86
1:02:20,12/1/2021,85.9,54.8,19,0,1.91
1:03:20,12/1/2021,85.8,54.8,19,0,1.91
1:04:20,12/1/2021,85.7,55.4,19,0,1.87
1:05:20,12/1/2021,85.7,55,19,0,1.89
1:06:23,12/1/2021,85.9,54.8,19,0,1.91
1:07:23,12/1/2021,86.3,53.7,19,0,1.98
1:08:26,12/1/2021,86.6,53.3,19,0,2.02
1:09:29,12/1/2021,86.9,53.4,18,0,2.03
1:10:29,12/1/2021,86.5,53.7,18,0,2
1:11:29,12/1/2021,86.2,54,18,0,1.96
1:12:29,12/1/2021,86,54.3,19,0,1.94
1:13:32,12/1/2021,85.9,54.5,18,0,1.92
1:14:35,12/1/2021,85.6,54.9,18,0,1.89
1:15:38,12/1/2021,85.9,55.5,18,0,1.88
1:16:38,12/1/2021,86.4,54.6,18,0,1.95
1:17:38,12/1/2021,86.7,53.3,18,0,2.03
1:18:41,12/1/2021,87.3,52.9,18,0,2.08
1:19:44,12/1/2021,88.7,51.7,18,0,2.23
1:20:44,12/1/2021,89.2,49.8,17,0,2.36
1:21:47,12/1/2021,88.6,50.1,18,0,2.3
1:22:47,12/1/2021,88.6,49.7,19,0,2.32
1:23:47,12/1/2021,87.4,50.4,19,0,2.2
1:24:47,12/1/2021,87.2,51.9,18,0,2.12
1:25:50,12/1/2021,87,51.8,19,0,2.11
1:26:50,12/1/2021,87.3,52,19,0,2.12
1:27:50,12/1/2021,87.3,51.9,19,0,2.13
1:28:50,12/1/2021,86.9,52.3,19,0,2.08
1:29:53,12/1/2021,86.7,52.6,19,0,2.06
1:30:56,12/1/2021,86.5,51.7,18,0,2.08
1:31:56,12/1/2021,86.1,52.2,18,0,2.03
1:32:59,12/1/2021,85.8,52.6,16,0,2
1:33:59,12/1/2021,85.6,53.7,17,0,1.94
1:34:59,12/1/2021,85.4,53.5,17,0,1.94
1:35:59,12/1/2021,85.7,54.3,17,0,1.92
1:36:59,12/1/2021,86,54.1,17,0,1.95
1:37:59,12/1/2021,85.7,53.4,17,0,1.96
1:38:59,12/1/2021,85.8,55.5,17,0,1.88
1:39:59,12/1/2021,85.3,58.6,16,0,1.72
1:41:02,12/1/2021,85.1,59.7,16,0,1.66
1:42:02,12/1/2021,85.2,58.6,17,0,1.71
1:43:02,12/1/2021,85,59.2,17,0,1.68
1:44:02,12/1/2021,84.7,59.5,17,0,1.65
1:45:02,12/1/2021,84.8,59.5,16,0,1.65
1:46:02,12/1/2021,85.3,59,16,0,1.7
1:47:05,12/1/2021,84.8,59.5,16,0,1.65
1:48:05,12/1/2021,84.5,60.2,16,0,1.61
1:49:05,12/1/2021,84.3,60.3,16,0,1.59
1:50:05,12/1/2021,84.2,60.8,16,0,1.57
1:51:05,12/1/2021,83.9,59.7,16,0,1.6
1:52:05,12/1/2021,83.3,60.5,16,0,1.54
1:53:08,12/1/2021,83,62.2,16,0,1.46
1:54:08,12/1/2021,82.7,61.9,16,0,1.45
1:55:11,12/1/2021,83.1,62,16,0,1.47
1:56:11,12/1/2021,82.9,61.3,16,0,1.49
1:57:11,12/1/2021,82.2,62.4,16,0,1.41
1:58:11,12/1/2021,81.7,62.3,16,0,1.39
1:59:11,12/1/2021,81.6,63.6,16,0,1.34
2:00:11,12/1/2021,81.3,63.3,16,0,1.34
2:01:14,12/1/2021,81.4,63.1,16,0,1.35
2:02:14,12/1/2021,81.6,63.5,16,0,1.34
2:03:17,12/1/2021,81.6,63.6,16,0,1.34
2:04:17,12/1/2021,81.4,63.1,16,0,1.35
2:05:17,12/1/2021,81.1,63,16,0,1.34
2:06:20,12/1/2021,80.9,63.3,16,0,1.32
2:07:20,12/1/2021,81,62.7,16,0,1.35
2:08:23,12/1/2021,80.9,63.3,16,0,1.32
2:09:23,12/1/2021,80.8,63.8,15,0,1.3
2:10:23,12/1/2021,80.7,64.1,15,0,1.28
2:11:26,12/1/2021,81.1,64,15,0,1.3
2:12:26,12/1/2021,81.1,62,15,0,1.38
2:13:29,12/1/2021,81.6,62.4,14,0,1.38
2:14:29,12/1/2021,81.9,61.4,14,0,1.44
2:15:29,12/1/2021,81.8,60.7,16,0,1.46
2:16:32,12/1/2021,81.5,61.5,14,0,1.41
2:17:35,12/1/2021,81.3,62.2,15,0,1.38
2:18:35,12/1/2021,81.2,62.7,14,0,1.36
2:19:35,12/1/2021,81,62.1,14,0,1.37
2:20:38,12/1/2021,80.7,62.6,14,0,1.34
2:21:38,12/1/2021,80.7,63.2,14,0,1.32
2:22:38,12/1/2021,80.8,63.6,14,0,1.31
2:23:38,12/1/2021,80.9,62.3,14,0,1.36
2:24:41,12/1/2021,81.3,62.2,13,0,1.38
2:25:41,12/1/2021,81.5,63.8,14,0,1.33
2:26:41,12/1/2021,81.6,61.7,14,0,1.41
2:27:44,12/1/2021,81.4,61.6,14,0,1.4
2:28:47,12/1/2021,81.2,61.5,12,0,1.4
2:29:47,12/1/2021,81.3,61.9,14,0,1.39
2:30:47,12/1/2021,81.2,61.8,9,0,1.39
2:31:47,12/1/2021,80.9,62.2,11,0,1.36
2:32:47,12/1/2021,80.7,62.2,13,0,1.35
2:33:50,12/1/2021,80.8,63.8,13,0,1.3
2:34:53,12/1/2021,80.7,63.1,13,0,1.32
2:35:53,12/1/2021,80.8,64.5,9,0,1.27
2:36:53,12/1/2021,80.4,64.7,4,0,1.25
2:37:53,12/1/2021,80,65.7,3,0,1.2
2:38:56,12/1/2021,79.5,64.2,8,0,1.23
2:39:56,12/1/2021,79.5,64.8,5,0,1.21
2:40:59,12/1/2021,79.6,65,5,0,1.21
2:41:59,12/1/2021,79.4,65,5,0,1.2
2:42:59,12/1/2021,79.2,65.4,4,0,1.18
2:43:59,12/1/2021,79,65.8,5,0,1.16
2:44:59,12/1/2021,78.8,66,6,0,1.14
2:45:59,12/1/2021,78.7,66.1,6,0,1.14
2:47:02,12/1/2021,78.7,66.3,6,0,1.13
2:48:02,12/1/2021,78.7,66.5,7,0,1.12
2:49:02,12/1/2021,78.7,66.8,8,0,1.11
2:50:02,12/1/2021,78.7,66.4,5,0,1.13
2:51:02,12/1/2021,78.6,66.9,5,0,1.11
2:52:02,12/1/2021,78.5,66.5,6,0,1.11
2:53:05,12/1/2021,78.4,67,4,0,1.09
2:54:05,12/1/2021,78.3,67.2,4,0,1.08
2:55:05,12/1/2021,78.1,66.6,4,0,1.1
2:56:05,12/1/2021,78.1,67.6,3,0,1.06
2:57:05,12/1/2021,78.2,67.7,4,0,1.06
2:58:05,12/1/2021,78,66,4,0,1.11
2:59:08,12/1/2021,77.9,66,10,0,1.11
3:00:08,12/1/2021,77.9,66.1,6,0,1.11
3:01:11,12/1/2021,78.1,68.6,6,0,1.03
3:02:14,12/1/2021,78.2,68.5,7,0,1.04
3:03:17,12/1/2021,78.3,68.2,6,0,1.05
3:04:20,12/1/2021,78.2,68.3,5,0,1.04
3:05:23,12/1/2021,78.1,68.9,4,0,1.02
3:06:23,12/1/2021,78.1,69,3,0,1.02
3:07:23,12/1/2021,78,69.6,4,0,1
3:08:23,12/1/2021,78,69.8,3,0,0.99
3:09:23,12/1/2021,77.9,70.3,3,0,0.97
3:10:26,12/1/2021,77.9,70.3,3,0,0.97
3:11:26,12/1/2021,77.9,70.6,3,0,0.96
3:12:26,12/1/2021,77.8,70.9,4,0,0.95
3:13:26,12/1/2021,77.7,70.3,4,0,0.96
3:14:29,12/1/2021,77.6,69.7,4,0,0.98
3:15:29,12/1/2021,77.5,70.3,3,0,0.96
3:16:29,12/1/2021,77.4,70.7,4,0,0.94
3:17:29,12/1/2021,77.4,70.8,3,0,0.94
3:18:32,12/1/2021,77.4,70.7,3,0,0.94
3:19:32,12/1/2021,77.3,70.4,4,0,0.95
3:20:35,12/1/2021,77.3,71,4,0,0.93
3:21:35,12/1/2021,77.2,70.8,3,0,0.93
3:22:35,12/1/2021,77.1,70.4,4,0,0.94
3:23:38,12/1/2021,77.2,70.6,4,0,0.94
3:24:38,12/1/2021,77.2,70.6,4,0,0.94
3:25:38,12/1/2021,77.3,70.8,4,0,0.93
3:26:41,12/1/2021,77.3,70.9,5,0,0.93
3:27:44,12/1/2021,77.4,70.9,3,0,0.93
3:28:44,12/1/2021,77.4,71,4,0,0.93
3:29:44,12/1/2021,77.4,71.3,3,0,0.92
3:30:44,12/1/2021,77.4,71.8,4,0,0.91
3:31:44,12/1/2021,77.3,71.1,4,0,0.92
3:32:44,12/1/2021,77.4,71.2,3,0,0.92
3:33:47,12/1/2021,77.2,70.9,4,0,0.93
3:34:50,12/1/2021,77.2,70.7,4,0,0.93
3:35:50,12/1/2021,77.2,70.5,3,0,0.94
3:36:50,12/1/2021,77.2,71,3,0,0.92
3:37:50,12/1/2021,77.2,72,4,0,0.89
3:38:53,12/1/2021,77.1,71.5,4,0,0.91
3:39:53,12/1/2021,77.1,71.6,5,0,0.9
3:40:56,12/1/2021,77.1,71.5,4,0,0.91
3:41:56,12/1/2021,77.3,71.2,4,0,0.92
3:42:59,12/1/2021,77.3,69.9,3,0,0.96
3:44:02,12/1/2021,77.3,69.9,4,0,0.96
3:45:05,12/1/2021,77.2,68.9,3,0,0.99
3:46:05,12/1/2021,77.2,69.5,2,0,0.97
3:47:05,12/1/2021,77.1,68.9,3,0,0.99
3:48:05,12/1/2021,77.1,68.4,3,0,1
3:49:05,12/1/2021,77,69.3,3,0,0.97
3:50:05,12/1/2021,77,69.9,3,0,0.95
3:51:05,12/1/2021,77,69.8,2,0,0.96
3:52:05,12/1/2021,76.9,69.5,3,0,0.96
3:53:05,12/1/2021,76.9,68.4,3,0,1
3:54:08,12/1/2021,76.9,68.6,3,0,0.99
3:55:08,12/1/2021,76.9,69,4,0,0.98
3:56:08,12/1/2021,76.9,72.1,4,0,0.88
3:57:08,12/1/2021,76.9,73.5,6,0,0.84
3:58:08,12/1/2021,77,73.6,5,0,0.84
3:59:08,12/1/2021,77.1,73.6,5,0,0.84
4:00:11,12/1/2021,77.2,73.7,5,0,0.84
4:01:11,12/1/2021,77.1,72.5,4,0,0.87
4:02:14,12/1/2021,77.1,71.5,3,0,0.91
4:03:14,12/1/2021,77,71.9,4,0,0.89
4:04:14,12/1/2021,76.9,70.4,4,0,0.93
4:05:14,12/1/2021,76.9,70.2,4,0,0.94
4:06:14,12/1/2021,77,70.2,5,0,0.94
4:07:17,12/1/2021,77,69.8,3,0,0.96
4:08:17,12/1/2021,77,70.6,3,0,0.93
4:09:20,12/1/2021,77,70.6,3,0,0.93
4:10:20,12/1/2021,77,71,2,0,0.92
4:11:23,12/1/2021,76.9,71.4,2,0,0.9
4:12:23,12/1/2021,76.9,72.2,2,0,0.88
4:13:23,12/1/2021,76.8,72.5,3,0,0.87
4:14:23,12/1/2021,76.7,73.1,3,0,0.84
4:15:26,12/1/2021,76.7,72.6,2,0,0.86
4:16:26,12/1/2021,76.6,72.1,2,0,0.87
4:17:29,12/1/2021,76.6,72.8,2,0,0.85
4:18:29,12/1/2021,76.5,73.2,2,0,0.83
4:19:29,12/1/2021,76.5,73.7,2,0,0.82
4:20:32,12/1/2021,76.5,73.4,1,0,0.83
4:21:32,12/1/2021,76.5,74.1,2,0,0.81
4:22:35,12/1/2021,76.5,74.2,1,0,0.8
4:23:38,12/1/2021,76.5,73.7,2,0,0.82
4:24:38,12/1/2021,76.4,73.4,2,0,0.83
4:25:41,12/1/2021,76.5,74.1,1,0,0.81
4:26:41,12/1/2021,76.5,74.2,1,0,0.8
4:27:41,12/1/2021,76.4,73.5,1,0,0.82
4:28:41,12/1/2021,76.3,72.4,2,0,0.85
4:29:44,12/1/2021,76.3,72.2,2,0,0.86
4:30:47,12/1/2021,76.1,71.9,2,0,0.86
4:31:47,12/1/2021,76.1,73,2,0,0.83
4:32:50,12/1/2021,76.1,73.3,2,0,0.82
4:33:50,12/1/2021,76,73.1,2,0,0.82
4:34:50,12/1/2021,76,73.3,2,0,0.82
4:35:53,12/1/2021,76,73.5,2,0,0.81
4:36:56,12/1/2021,76,73.8,1,0,0.8
4:37:59,12/1/2021,76,73.8,2,0,0.8
4:39:02,12/1/2021,76,74,2,0,0.8
4:40:02,12/1/2021,75.9,74.1,1,0,0.79
4:41:02,12/1/2021,75.9,74.3,1,0,0.78
4:42:02,12/1/2021,75.9,73.8,1,0,0.8
4:43:05,12/1/2021,75.9,73.8,1,0,0.8
4:44:05,12/1/2021,75.8,73.9,1,0,0.79
4:45:05,12/1/2021,75.8,73.9,1,0,0.79
4:46:05,12/1/2021,75.8,73.9,1,0,0.79
4:47:05,12/1/2021,75.8,73.9,1,0,0.79
4:48:05,12/1/2021,75.8,74.5,1,0,0.78
4:49:08,12/1/2021,75.8,74.6,1,0,0.77
4:50:08,12/1/2021,75.8,74.2,1,0,0.79
4:51:11,12/1/2021,75.8,74.4,1,0,0.78
4:52:11,12/1/2021,75.8,74.6,1,0,0.77
4:53:11,12/1/2021,75.8,74.8,1,0,0.77
4:54:11,12/1/2021,75.8,74.3,1,0,0.78
4:55:11,12/1/2021,75.8,75.1,1,0,0.76
4:56:11,12/1/2021,75.8,75,1,0,0.76
4:57:11,12/1/2021,75.8,75,1,0,0.76
4:58:14,12/1/2021,75.7,74.9,1,0,0.76
4:59:14,12/1/2021,75.7,74.2,1,0,0.78
5:00:14,12/1/2021,75.7,74.5,1,0,0.77
5:01:14,12/1/2021,75.7,75.1,1,0,0.76
5:02:14,12/1/2021,75.7,75.5,1,0,0.74
5:03:17,12/1/2021,75.7,75.4,1,0,0.75
5:04:17,12/1/2021,75.6,75.1,1,0,0.75
5:05:17,12/1/2021,75.6,74.8,1,0,0.76
5:06:17,12/1/2021,75.6,75.4,1,0,0.74
5:07:17,12/1/2021,75.6,75.7,0,0,0.73
5:08:20,12/1/2021,75.6,75.1,0,0,0.75
5:09:20,12/1/2021,75.5,75.8,1,0,0.73
5:10:20,12/1/2021,75.5,75,1,0,0.75
5:11:23,12/1/2021,75.5,75.5,1,0,0.74
5:12:26,12/1/2021,75.5,76,1,0,0.72
5:13:26,12/1/2021,75.5,75.6,1,0,0.74
5:14:29,12/1/2021,75.5,75.2,1,0,0.75
5:15:32,12/1/2021,75.5,75.4,1,0,0.74
5:16:35,12/1/2021,75.6,75.4,1,0,0.74
5:17:35,12/1/2021,75.6,75.7,0,0,0.73
5:18:35,12/1/2021,75.6,75.7,0,0,0.73
5:19:38,12/1/2021,75.5,76.2,0,0,0.72
5:20:41,12/1/2021,75.5,75.9,0,0,0.73
5:21:41,12/1/2021,75.5,75.5,0,0,0.74
5:22:44,12/1/2021,75.5,75.7,0,0,0.73
5:23:47,12/1/2021,75.6,74.8,0,0,0.76
5:24:50,12/1/2021,75.6,74.1,0,0,0.78
5:25:50,12/1/2021,75.5,74.3,0,0,0.77
5:26:50,12/1/2021,75.6,74.5,0,0,0.77
5:27:53,12/1/2021,75.5,74.6,0,0,0.77
5:28:56,12/1/2021,75.5,75.5,0,0,0.74
5:29:56,12/1/2021,75.4,74.2,0,0,0.77
5:30:59,12/1/2021,75.4,74,0,0,0.78
5:32:02,12/1/2021,75.4,74.2,0,0,0.77
5:33:02,12/1/2021,75.3,73.9,0,0,0.78
5:34:05,12/1/2021,75.3,75.3,0,0,0.74
5:35:05,12/1/2021,75.3,75.2,0,0,0.74
5:36:08,12/1/2021,75.3,75.3,0,0,0.74
5:37:08,12/1/2021,75.3,75.6,0,0,0.73
5:38:08,12/1/2021,75.3,75.1,0,0,0.75
5:39:11,12/1/2021,75.2,74.7,0,0,0.75
5:40:11,12/1/2021,75.2,75,0,0,0.75
5:41:11,12/1/2021,75.2,75.4,0,0,0.73
5:42:14,12/1/2021,75.2,74.5,0,0,0.76
5:43:14,12/1/2021,75.1,74.2,0,0,0.77
5:44:14,12/1/2021,75.1,74.8,0,0,0.75
5:45:17,12/1/2021,75.2,75.1,0,0,0.74
5:46:20,12/1/2021,75.2,75.5,0,0,0.73
5:47:20,12/1/2021,75.2,74.6,0,0,0.76
5:48:23,12/1/2021,75.2,75.3,0,0,0.74
5:49:26,12/1/2021,75.2,75.5,0,0,0.73
5:50:29,12/1/2021,75.3,75.2,0,0,0.74
5:51:29,12/1/2021,75.3,76,0,0,0.72
5:52:29,12/1/2021,75.3,75.7,0,0,0.73
5:53:29,12/1/2021,75.3,75.2,0,0,0.74
5:54:32,12/1/2021,75.3,74.9,0,0,0.75
5:55:32,12/1/2021,75.2,74.7,0,0,0.75
5:56:32,12/1/2021,75.2,73.6,0,0,0.79
5:57:32,12/1/2021,75.2,73.8,0,0,0.78
5:58:32,12/1/2021,75.2,73.2,0,0,0.8
5:59:32,12/1/2021,75.2,74.1,0,0,0.77
6:00:35,12/1/2021,75.2,72.8,0,0,0.81
6:01:35,12/1/2021,75.2,73.3,0,0,0.8
6:02:38,12/1/2021,75.2,73.2,0,0,0.8
6:03:38,12/1/2021,75.3,73.3,0,0,0.8
6:04:38,12/1/2021,75.3,73.5,0,0,0.79
6:05:38,12/1/2021,75.3,73.9,0,0,0.78
6:06:41,12/1/2021,75.3,74.2,0,0,0.77
6:07:44,12/1/2021,75.4,74.3,0,0,0.77
6:08:44,12/1/2021,75.3,75.1,0,0,0.75
6:09:44,12/1/2021,75.3,74.5,0,0,0.76
6:10:47,12/1/2021,75.3,74.1,0,0,0.78
6:11:50,12/1/2021,75.3,72.7,0,0,0.82
6:12:53,12/1/2021,75.3,72.3,0,0,0.83
6:13:53,12/1/2021,75.3,73.3,0,0,0.8
6:14:56,12/1/2021,75.3,73.7,0,0,0.79
6:15:56,12/1/2021,75.3,73.8,0,0,0.78
6:16:59,12/1/2021,75.3,74,0,0,0.78
6:18:02,12/1/2021,75.3,72.7,0,0,0.82
6:19:02,12/1/2021,75.3,73.7,0,0,0.79
6:20:05,12/1/2021,75.3,74.3,0,0,0.77
6:21:08,12/1/2021,75.3,74.9,0,0,0.75
6:22:08,12/1/2021,75.3,74.8,0,0,0.75
6:23:11,12/1/2021,75.3,75.4,0,0,0.74
6:24:11,12/1/2021,75.3,75,0,0,0.75
6:25:14,12/1/2021,75.3,75.3,0,0,0.74
6:26:17,12/1/2021,75.3,75.4,0,0,0.74
6:27:17,12/1/2021,75.3,75,0,0,0.75
6:28:17,12/1/2021,75.2,74.8,0,0,0.75
6:29:17,12/1/2021,75.3,74.6,0,0,0.76
6:30:20,12/1/2021,75.2,74,0,0,0.78
6:31:20,12/1/2021,75.3,73.5,0,0,0.79
6:32:20,12/1/2021,75.2,73.5,0,0,0.79
6:33:23,12/1/2021,75.3,73.5,0,0,0.79
6:34:23,12/1/2021,75.3,72.5,0,0,0.82
6:35:23,12/1/2021,75.3,73,0,0,0.81
6:36:26,12/1/2021,75.3,71.7,0,0,0.85
6:37:29,12/1/2021,75.3,71.7,0,0,0.85
6:38:29,12/1/2021,75.3,70.8,0,0,0.87
6:39:32,12/1/2021,75.4,70.6,0,0,0.88
6:40:32,12/1/2021,75.4,71,0,0,0.87
6:41:32,12/1/2021,75.5,71.7,0,0,0.85
6:42:35,12/1/2021,75.5,71.9,0,0,0.85
6:43:35,12/1/2021,75.5,72.3,0,0,0.83
6:44:38,12/1/2021,75.5,72.3,0,0,0.83
6:45:41,12/1/2021,75.6,72.5,0,0,0.83
6:46:41,12/1/2021,75.6,73.1,0,0,0.81
6:47:44,12/1/2021,75.6,72.3,0,0,0.84
6:48:44,12/1/2021,75.6,72.8,0,0,0.82
6:49:44,12/1/2021,75.6,72.8,0,0,0.82
6:50:44,12/1/2021,75.6,72.9,0,0,0.82
6:51:47,12/1/2021,75.6,72.4,0,0,0.83
6:52:47,12/1/2021,75.6,72.7,0,0,0.83
6:53:50,12/1/2021,75.6,72.8,0,0,0.82
6:54:50,12/1/2021,75.6,72.5,0,0,0.83
6:55:53,12/1/2021,75.5,72.9,0,0,0.82
6:56:56,12/1/2021,75.6,73.2,0,0,0.81
6:57:56,12/1/2021,75.5,74,0,0,0.78
6:58:56,12/1/2021,75.6,74,0,0,0.79
6:59:56,12/1/2021,75.6,74.7,0,0,0.76
7:00:56,12/1/2021,75.6,75.7,0,0,0.73
7:01:56,12/1/2021,75.5,77.1,0,0,0.69
7:02:59,12/1/2021,75.5,76.7,0,0,0.7
7:03:59,12/1/2021,75.4,76.6,0,0,0.7
7:05:02,12/1/2021,75.3,77.2,0,0,0.68
7:06:05,12/1/2021,75.2,77.6,0,0,0.67
7:07:08,12/1/2021,75.1,78.9,0,0,0.63
7:08:08,12/1/2021,75,78.7,0,0,0.63
7:09:08,12/1/2021,75,78.7,0,0,0.63
7:10:11,12/1/2021,74.9,79.3,0,0,0.61
