Time,Date,Water Temp (F),pH,Water Conductivity (µs/cm),Oxidation-reduction potential (ORP) or Disolved Oxygen (DO)
3:16:02,12/1/2021,73.8,7.72,498,188
3:17:02,12/1/2021,73.8,7.72,537,189
3:18:02,12/1/2021,73.7,7.72,513,190
3:19:05,12/1/2021,73.7,7.72,511,190
3:20:05,12/1/2021,73.7,7.72,511,191
3:21:08,12/1/2021,73.7,7.71,610,191
3:22:11,12/1/2021,73.7,7.7,0,191
3:23:14,12/1/2021,73.7,7.71,497,191
3:24:14,12/1/2021,73.7,7.7,519,192
3:25:17,12/1/2021,73.7,7.7,474,192
3:26:17,12/1/2021,73.7,7.71,478,192
3:27:17,12/1/2021,73.7,7.7,503,193
3:28:20,12/1/2021,73.7,7.71,0,192
3:29:23,12/1/2021,73.7,7.7,507,193
3:30:23,12/1/2021,73.7,7.7,524,193
3:31:23,12/1/2021,73.7,7.7,509,194
3:32:23,12/1/2021,73.7,7.71,472,194
3:33:23,12/1/2021,73.7,7.71,527,194
3:34:23,12/1/2021,73.7,7.71,513,195
3:35:26,12/1/2021,73.7,7.71,517,195
3:36:26,12/1/2021,73.7,7.71,524,195
3:37:26,12/1/2021,73.7,7.71,0,195
3:38:29,12/1/2021,73.6,7.71,521,196
3:39:29,12/1/2021,73.6,7.71,498,196
3:40:29,12/1/2021,73.6,7.71,544,196
3:41:29,12/1/2021,73.6,7.71,520,196
3:42:29,12/1/2021,73.6,7.71,520,196
3:43:32,12/1/2021,73.6,7.71,514,196
3:44:32,12/1/2021,73.6,7.71,521,197
3:45:32,12/1/2021,73.6,7.71,521,198
3:46:35,12/1/2021,73.6,7.71,515,198
3:47:35,12/1/2021,73.6,7.72,512,199
3:48:38,12/1/2021,73.6,7.72,502,199
3:49:38,12/1/2021,73.6,7.72,528,199
3:50:38,12/1/2021,73.6,7.71,513,199
3:51:38,12/1/2021,73.6,7.72,578,200
3:52:41,12/1/2021,73.6,7.72,512,200
3:53:41,12/1/2021,73.6,7.72,0,200
3:54:44,12/1/2021,73.6,7.72,543,200
3:55:47,12/1/2021,73.6,7.72,488,200
3:56:47,12/1/2021,73.6,7.72,520,200
3:57:47,12/1/2021,73.6,7.72,507,200
3:58:50,12/1/2021,73.6,7.72,520,200
3:59:50,12/1/2021,73.5,7.72,509,201
4:00:50,12/1/2021,73.5,7.72,521,201
4:01:53,12/1/2021,73.5,7.73,516,202
4:02:56,12/1/2021,73.5,7.73,540,202
4:03:56,12/1/2021,73.5,7.72,0,202
4:04:56,12/1/2021,73.5,7.73,500,202
4:05:56,12/1/2021,73.5,7.72,563,203
4:06:56,12/1/2021,73.5,7.73,560,203
4:07:56,12/1/2021,73.5,7.73,513,204
4:08:59,12/1/2021,73.5,7.73,523,203
4:09:59,12/1/2021,73.5,7.73,520,203
4:10:59,12/1/2021,73.5,7.73,523,204
4:11:59,12/1/2021,73.5,7.73,0,204
4:13:02,12/1/2021,73.5,7.73,514,204
4:14:05,12/1/2021,73.5,7.73,526,204
4:15:05,12/1/2021,73.5,7.73,510,205
4:16:08,12/1/2021,73.5,7.73,544,205
4:17:11,12/1/2021,73.5,7.73,506,205
4:18:11,12/1/2021,73.5,7.74,512,206
4:19:14,12/1/2021,73.5,7.73,526,206
4:20:14,12/1/2021,73.5,7.74,505,206
4:21:17,12/1/2021,73.5,7.73,513,206
4:22:17,12/1/2021,73.5,7.73,540,205
4:23:17,12/1/2021,73.5,7.73,542,206
4:24:17,12/1/2021,73.5,7.74,516,206
4:25:17,12/1/2021,73.5,7.73,516,206
4:26:17,12/1/2021,73.5,7.74,535,207
4:27:17,12/1/2021,73.5,7.73,531,207
4:28:17,12/1/2021,73.4,7.74,524,208
4:29:20,12/1/2021,73.4,7.74,535,208
4:30:23,12/1/2021,73.4,7.74,0,208
4:31:26,12/1/2021,73.4,7.74,512,208
4:32:29,12/1/2021,73.4,7.73,504,208
4:33:29,12/1/2021,73.4,7.74,499,208
4:34:29,12/1/2021,73.4,7.74,0,209
4:35:29,12/1/2021,73.4,7.74,545,209
4:36:32,12/1/2021,73.4,7.74,466,209
4:37:35,12/1/2021,73.4,7.74,517,209
4:38:38,12/1/2021,73.4,7.74,522,210
4:39:41,12/1/2021,73.4,7.74,525,210
4:40:41,12/1/2021,73.4,7.74,517,210
4:41:44,12/1/2021,73.4,7.74,521,211
4:42:44,12/1/2021,73.4,7.74,558,211
4:43:44,12/1/2021,73.4,7.75,574,211
4:44:47,12/1/2021,73.4,7.75,536,211
4:45:50,12/1/2021,73.4,7.74,530,211
4:46:50,12/1/2021,73.4,7.75,576,211
4:47:50,12/1/2021,73.4,7.75,526,211
4:48:50,12/1/2021,73.4,7.75,539,212
4:49:50,12/1/2021,73.4,7.75,517,212
4:50:50,12/1/2021,73.3,7.75,538,212
4:51:53,12/1/2021,73.3,7.74,563,212
4:52:56,12/1/2021,73.3,7.75,567,212
4:53:59,12/1/2021,73.3,7.75,550,212
4:54:59,12/1/2021,73.3,7.75,536,212
4:55:59,12/1/2021,73.3,7.75,525,212
4:56:59,12/1/2021,73.3,7.75,498,213
4:57:59,12/1/2021,73.3,7.75,497,213
4:59:02,12/1/2021,73.3,7.75,524,213
5:00:05,12/1/2021,73.3,7.75,515,213
5:01:05,12/1/2021,73.3,7.75,542,214
5:02:05,12/1/2021,73.3,7.75,486,213
5:03:08,12/1/2021,73.3,7.75,496,214
5:04:08,12/1/2021,73.3,7.75,486,214
5:05:08,12/1/2021,73.3,7.75,507,214
5:06:11,12/1/2021,73.3,7.75,541,214
5:07:11,12/1/2021,73.3,7.75,522,214
5:08:11,12/1/2021,73.3,7.75,520,213
5:09:11,12/1/2021,73.3,7.75,522,214
5:10:11,12/1/2021,73.3,7.75,539,214
5:11:11,12/1/2021,73.3,7.76,528,214
5:12:14,12/1/2021,73.3,7.76,529,215
5:13:14,12/1/2021,73.2,7.75,517,215
5:14:17,12/1/2021,73.2,7.76,514,214
5:15:20,12/1/2021,73.2,7.76,490,214
5:16:20,12/1/2021,73.2,7.76,502,215
5:17:20,12/1/2021,73.2,7.75,522,215
5:18:20,12/1/2021,73.2,7.76,524,215
5:19:23,12/1/2021,73.2,7.76,556,214
5:20:23,12/1/2021,73.2,7.76,521,215
5:21:23,12/1/2021,73.2,7.76,535,215
5:22:23,12/1/2021,73.2,7.76,487,215
5:23:23,12/1/2021,73.2,7.76,575,216
5:24:23,12/1/2021,73.2,7.76,516,216
5:25:26,12/1/2021,73.2,7.76,520,215
5:26:26,12/1/2021,73.2,7.76,510,216
5:27:29,12/1/2021,73.2,7.76,554,215
5:28:29,12/1/2021,73.2,7.76,521,216
5:29:32,12/1/2021,73.2,7.76,511,215
5:30:32,12/1/2021,73.2,7.76,537,215
5:31:32,12/1/2021,73.2,7.76,514,215
5:32:35,12/1/2021,73.2,7.75,520,215
5:33:35,12/1/2021,73.2,7.76,517,215
5:34:38,12/1/2021,73.2,7.76,499,216
5:35:38,12/1/2021,73.2,7.76,539,215
5:36:38,12/1/2021,73.2,7.76,518,216
5:37:41,12/1/2021,73.2,7.76,509,216
5:38:41,12/1/2021,73.2,7.76,512,216
5:39:44,12/1/2021,73.2,7.76,591,215
5:40:44,12/1/2021,73.2,7.76,545,216
5:41:47,12/1/2021,73.2,7.76,533,216
5:42:47,12/1/2021,73.2,7.76,530,215
5:43:47,12/1/2021,73.1,7.76,511,215
5:44:50,12/1/2021,73.1,7.77,542,216
5:45:50,12/1/2021,73.1,7.77,525,215
5:46:53,12/1/2021,73.1,7.76,532,216
5:47:53,12/1/2021,73.1,7.76,536,216
5:48:56,12/1/2021,73.1,7.76,547,216
5:49:59,12/1/2021,73.1,7.76,516,216
5:51:02,12/1/2021,73.1,7.76,533,215
5:52:02,12/1/2021,73.1,7.76,523,216
5:53:05,12/1/2021,73.1,7.76,0,216
5:54:05,12/1/2021,73.1,7.76,520,216
5:55:08,12/1/2021,73.1,7.76,0,215
5:56:08,12/1/2021,73.1,7.76,523,216
5:57:08,12/1/2021,73.1,7.76,505,215
5:58:11,12/1/2021,73.1,7.76,503,214
5:59:14,12/1/2021,73.1,7.76,548,214
6:00:14,12/1/2021,73.1,7.76,532,215
6:01:14,12/1/2021,73.1,7.76,529,215
6:02:17,12/1/2021,73.1,7.76,495,214
6:03:20,12/1/2021,73.1,7.76,565,214
6:04:20,12/1/2021,73.1,7.76,496,214
6:05:23,12/1/2021,73.1,7.76,572,214
6:06:23,12/1/2021,73.1,7.76,530,214
6:07:26,12/1/2021,73.1,7.76,526,214
6:08:26,12/1/2021,73.1,7.76,518,214
6:09:26,12/1/2021,73.1,7.76,527,214
6:10:26,12/1/2021,73.1,7.77,547,213
6:11:29,12/1/2021,73.1,7.76,563,213
6:12:32,12/1/2021,73.1,7.76,502,213
6:13:35,12/1/2021,73.1,7.77,541,213
6:14:35,12/1/2021,73.1,7.77,516,213
6:15:38,12/1/2021,73.1,7.76,525,212
6:16:38,12/1/2021,73.1,7.77,565,212
6:17:41,12/1/2021,73.1,7.77,543,213
6:18:41,12/1/2021,73.1,7.76,533,212
6:19:44,12/1/2021,73,7.77,472,212
6:20:44,12/1/2021,73,7.76,519,212
6:21:44,12/1/2021,73,7.77,500,212
6:22:44,12/1/2021,73,7.76,511,212
6:23:44,12/1/2021,73,7.76,543,211
6:24:44,12/1/2021,73,7.77,562,211
6:25:47,12/1/2021,73,7.77,453,211
6:26:47,12/1/2021,73,7.77,492,211
6:27:47,12/1/2021,73,7.76,591,210
6:28:47,12/1/2021,73,7.76,538,210
6:29:50,12/1/2021,73,7.77,530,210
6:30:53,12/1/2021,73,7.77,560,210
6:31:53,12/1/2021,73,7.77,518,210
6:32:56,12/1/2021,73,7.77,432,209
6:33:56,12/1/2021,73,7.77,469,209
6:34:59,12/1/2021,73,7.77,448,209
6:35:59,12/1/2021,73,7.77,536,209
6:36:59,12/1/2021,73,7.77,547,209
6:38:02,12/1/2021,73,7.77,521,209
6:39:02,12/1/2021,73,7.77,544,208
6:40:02,12/1/2021,73,7.77,532,208
6:41:02,12/1/2021,73,7.77,484,208
6:42:05,12/1/2021,73,7.77,521,208
6:43:05,12/1/2021,73,7.77,489,208
6:44:05,12/1/2021,73,7.77,543,208
6:45:05,12/1/2021,73,7.77,520,207
6:46:05,12/1/2021,73,7.76,495,207
6:47:08,12/1/2021,73,7.77,502,207
6:48:11,12/1/2021,73,7.77,467,207
6:49:11,12/1/2021,73,7.76,554,206
6:50:11,12/1/2021,73,7.77,577,207
6:51:14,12/1/2021,73,7.77,481,207
6:52:14,12/1/2021,73,7.77,499,206
6:53:14,12/1/2021,73,7.77,521,206
6:54:17,12/1/2021,73,7.77,518,206
6:55:20,12/1/2021,73,7.77,511,206
6:56:23,12/1/2021,73,7.75,544,206
6:57:26,12/1/2021,73,7.76,578,206
6:58:26,12/1/2021,73,7.77,508,205
6:59:29,12/1/2021,73,7.77,569,205
7:00:29,12/1/2021,73,7.77,498,204
7:01:29,12/1/2021,73,7.77,505,204
7:02:29,12/1/2021,73,7.77,420,204
7:03:29,12/1/2021,73,7.77,498,204
7:04:29,12/1/2021,73,7.74,0,204
7:05:32,12/1/2021,73,7.74,514,203
7:06:35,12/1/2021,73,7.77,548,204
7:07:35,12/1/2021,73,7.77,542,203
7:08:38,12/1/2021,73,7.77,556,203
7:09:38,12/1/2021,73,7.77,516,203
7:10:38,12/1/2021,73,7.77,521,202
7:11:38,12/1/2021,73,7.77,543,202
7:12:41,12/1/2021,73,7.77,530,202
7:13:41,12/1/2021,73,7.77,518,201
7:14:41,12/1/2021,73,7.77,549,201
7:15:44,12/1/2021,72.9,7.77,535,201
7:16:44,12/1/2021,72.9,7.78,513,200
7:17:44,12/1/2021,72.9,7.77,551,200
7:18:47,12/1/2021,72.9,7.77,0,200
7:19:50,12/1/2021,72.9,7.77,538,200
7:20:53,12/1/2021,72.9,7.77,527,200
7:21:53,12/1/2021,72.9,7.77,530,199
7:22:53,12/1/2021,72.9,7.77,528,199
7:23:53,12/1/2021,72.9,7.77,532,199
7:24:56,12/1/2021,72.9,7.77,515,198
7:25:56,12/1/2021,72.9,7.77,522,198
7:26:59,12/1/2021,72.9,7.78,530,198
7:27:59,12/1/2021,72.9,7.78,542,197
7:29:02,12/1/2021,72.9,7.78,533,198
7:30:02,12/1/2021,72.9,7.77,533,197
7:31:05,12/1/2021,72.9,7.78,536,196
7:32:05,12/1/2021,72.9,7.77,517,196
7:33:05,12/1/2021,72.9,7.78,532,196
7:34:08,12/1/2021,72.9,7.77,523,196
7:35:08,12/1/2021,72.9,7.77,551,196
7:36:11,12/1/2021,72.9,7.78,535,196
7:37:14,12/1/2021,72.9,7.78,515,196
7:38:14,12/1/2021,72.9,7.78,0,196
7:39:17,12/1/2021,72.9,7.78,501,196
7:40:17,12/1/2021,72.9,7.77,558,196
7:41:17,12/1/2021,72.9,7.77,469,195
7:42:17,12/1/2021,72.9,7.78,536,195
7:43:20,12/1/2021,72.9,7.77,527,196
7:44:23,12/1/2021,72.9,7.78,534,195
7:45:23,12/1/2021,72.9,7.77,497,195
7:46:26,12/1/2021,72.9,7.77,502,194
7:47:26,12/1/2021,72.9,7.77,514,195
7:48:29,12/1/2021,72.9,7.78,541,193
7:49:32,12/1/2021,72.9,7.77,550,194
7:50:32,12/1/2021,72.9,7.77,516,193
7:51:35,12/1/2021,72.9,7.78,510,192
7:52:38,12/1/2021,72.9,7.77,0,194
7:53:38,12/1/2021,72.9,7.78,522,194
7:54:38,12/1/2021,72.9,7.78,510,193
7:55:38,12/1/2021,72.9,7.78,526,193
7:56:41,12/1/2021,72.9,7.78,549,193
7:57:41,12/1/2021,72.9,7.78,557,192
7:58:44,12/1/2021,72.9,7.78,503,192
7:59:44,12/1/2021,72.9,7.78,521,192
8:00:44,12/1/2021,72.8,7.78,0,192
8:01:44,12/1/2021,72.8,7.78,521,191
8:02:44,12/1/2021,72.8,7.78,523,191
8:03:44,12/1/2021,72.8,7.78,543,191
8:04:44,12/1/2021,72.8,7.77,529,191
8:05:47,12/1/2021,72.8,7.78,506,191
8:06:47,12/1/2021,72.8,7.78,521,190
8:07:50,12/1/2021,72.8,7.77,499,190
8:08:50,12/1/2021,72.8,7.78,572,190
8:09:53,12/1/2021,72.8,7.78,539,189
8:10:53,12/1/2021,72.8,7.78,514,190
8:11:56,12/1/2021,72.8,7.78,518,190
8:12:56,12/1/2021,72.8,7.78,533,189
8:13:59,12/1/2021,72.8,7.78,537,189
8:15:02,12/1/2021,72.8,7.78,0,189
8:16:05,12/1/2021,72.8,7.78,525,189
8:17:05,12/1/2021,72.8,7.78,502,189
8:18:08,12/1/2021,72.8,7.78,530,189
8:19:11,12/1/2021,72.8,7.78,519,188
8:20:11,12/1/2021,72.8,7.78,526,188
8:21:11,12/1/2021,72.8,7.78,546,188
8:22:11,12/1/2021,72.8,7.78,524,188
8:23:14,12/1/2021,72.8,7.78,525,188
8:24:14,12/1/2021,72.8,7.78,518,188
8:25:17,12/1/2021,72.8,7.79,505,188
8:26:17,12/1/2021,72.8,7.78,522,187
8:27:20,12/1/2021,72.8,7.78,487,188
8:28:20,12/1/2021,72.8,7.78,533,187
8:29:23,12/1/2021,72.8,7.78,532,188
8:30:26,12/1/2021,72.8,7.78,518,188
8:31:26,12/1/2021,72.8,7.79,504,186
8:32:26,12/1/2021,72.8,7.79,495,186
8:33:29,12/1/2021,72.8,7.79,542,187
8:34:32,12/1/2021,72.8,7.78,513,186
8:35:32,12/1/2021,72.8,7.79,519,187
8:36:32,12/1/2021,72.8,7.79,522,187
8:37:35,12/1/2021,72.8,7.79,573,186
8:38:35,12/1/2021,72.8,7.78,578,186
8:39:35,12/1/2021,72.8,7.79,552,186
8:40:35,12/1/2021,72.8,7.79,537,186
8:41:35,12/1/2021,72.7,7.79,526,185
8:42:38,12/1/2021,72.7,7.79,484,185
8:43:41,12/1/2021,72.7,7.79,495,185
8:44:41,12/1/2021,72.7,7.79,533,185
8:45:41,12/1/2021,72.7,7.79,501,185
8:46:44,12/1/2021,72.7,7.79,477,185
8:47:47,12/1/2021,72.7,7.79,506,185
8:48:47,12/1/2021,72.7,7.79,552,184
8:49:50,12/1/2021,72.7,7.79,542,184
8:50:53,12/1/2021,72.7,7.79,545,184
8:51:56,12/1/2021,72.7,7.79,489,184
8:52:59,12/1/2021,72.7,7.79,561,184
8:53:59,12/1/2021,72.7,7.79,541,184
8:54:59,12/1/2021,72.7,7.79,501,184
8:56:02,12/1/2021,72.7,7.79,534,184
8:57:02,12/1/2021,72.7,7.79,530,183
8:58:02,12/1/2021,72.7,7.79,540,183
8:59:02,12/1/2021,72.7,7.79,525,183
9:00:05,12/1/2021,72.7,7.8,454,183
9:01:05,12/1/2021,72.7,7.79,536,183
9:02:08,12/1/2021,72.7,7.79,549,182
9:03:08,12/1/2021,72.7,7.79,514,183
9:04:11,12/1/2021,72.7,7.79,450,183
9:05:11,12/1/2021,72.7,7.79,566,182
9:06:14,12/1/2021,72.7,7.79,519,182
9:07:14,12/1/2021,72.7,7.79,570,182
9:08:14,12/1/2021,72.7,7.79,531,183
9:09:17,12/1/2021,72.7,7.79,474,182
9:10:20,12/1/2021,72.7,7.79,546,182
9:11:23,12/1/2021,72.7,7.79,520,183
9:12:26,12/1/2021,72.7,7.8,528,182
9:13:26,12/1/2021,72.7,7.8,538,182
9:14:29,12/1/2021,72.7,7.8,474,181
9:15:29,12/1/2021,72.7,7.8,443,181
9:16:29,12/1/2021,72.7,7.8,515,181
9:17:32,12/1/2021,72.6,7.8,521,180
9:18:32,12/1/2021,72.6,7.79,504,180
9:19:32,12/1/2021,72.6,7.8,514,181
9:20:32,12/1/2021,72.6,7.8,535,180
9:21:35,12/1/2021,72.6,7.8,528,180
9:22:35,12/1/2021,72.6,7.8,524,180
9:23:35,12/1/2021,72.6,7.8,516,180
9:24:35,12/1/2021,72.6,7.8,0,180
9:25:38,12/1/2021,72.6,7.8,560,180
9:26:38,12/1/2021,72.6,7.8,522,180
9:27:41,12/1/2021,72.6,7.8,478,180
9:28:41,12/1/2021,72.6,7.8,0,180
9:29:41,12/1/2021,72.6,7.8,524,180
9:30:44,12/1/2021,72.6,7.8,532,180
9:31:44,12/1/2021,72.6,7.8,528,180
9:32:47,12/1/2021,72.6,7.8,511,180
9:33:47,12/1/2021,72.6,7.8,534,180
9:34:50,12/1/2021,72.6,7.8,499,179
9:35:53,12/1/2021,72.6,7.79,521,180
9:36:53,12/1/2021,72.6,7.79,541,179
9:37:53,12/1/2021,72.6,7.8,546,179
9:38:56,12/1/2021,72.6,7.8,522,179
9:39:56,12/1/2021,72.6,7.8,530,179
9:40:56,12/1/2021,72.6,7.8,501,179
9:41:59,12/1/2021,72.6,7.8,515,179
9:42:59,12/1/2021,72.6,7.8,523,179
9:43:59,12/1/2021,72.6,7.8,515,179
9:45:02,12/1/2021,72.6,7.8,437,178
9:46:02,12/1/2021,72.6,7.8,440,179
9:47:05,12/1/2021,72.6,7.81,514,179
9:48:05,12/1/2021,72.6,7.81,550,178
9:49:08,12/1/2021,72.6,7.81,525,178
9:50:11,12/1/2021,72.6,7.81,602,178
9:51:11,12/1/2021,72.6,7.81,550,178
9:52:14,12/1/2021,72.6,7.81,494,178
9:53:17,12/1/2021,72.6,7.81,555,178
9:54:20,12/1/2021,72.6,7.81,510,177
9:55:23,12/1/2021,72.6,7.81,536,177
9:56:23,12/1/2021,72.6,7.81,558,177
9:57:23,12/1/2021,72.6,7.81,460,177
9:58:26,12/1/2021,72.6,7.81,549,177
9:59:29,12/1/2021,72.6,7.81,536,177
10:00:29,12/1/2021,72.6,7.81,507,176
10:01:32,12/1/2021,72.6,7.81,517,177
10:02:32,12/1/2021,72.6,7.81,552,177
10:03:32,12/1/2021,72.6,7.81,526,176
10:04:35,12/1/2021,72.6,7.81,561,177
10:05:38,12/1/2021,72.6,7.81,493,176
10:06:38,12/1/2021,72.6,7.81,515,176
10:07:38,12/1/2021,72.6,7.81,520,176
10:08:41,12/1/2021,72.6,7.81,517,177
10:09:41,12/1/2021,72.6,7.81,489,176
10:10:44,12/1/2021,72.6,7.81,532,176
10:11:47,12/1/2021,72.6,7.81,515,176
10:12:47,12/1/2021,72.6,7.81,514,176
10:13:50,12/1/2021,72.6,7.81,546,176
10:14:50,12/1/2021,72.6,7.81,502,176
10:15:50,12/1/2021,72.6,7.81,531,176
10:16:50,12/1/2021,72.6,7.81,547,176
10:17:50,12/1/2021,72.6,7.81,528,176
10:18:53,12/1/2021,72.6,7.81,523,176
10:19:56,12/1/2021,72.6,7.81,567,176
10:20:56,12/1/2021,72.6,7.81,562,176
10:21:56,12/1/2021,72.5,7.81,545,175
10:22:59,12/1/2021,72.6,7.81,527,176
10:23:59,12/1/2021,72.5,7.81,552,175
10:24:59,12/1/2021,72.5,7.81,522,175
10:25:59,12/1/2021,72.5,7.81,502,175
10:27:02,12/1/2021,72.5,7.81,529,175
10:28:02,12/1/2021,72.5,7.81,523,175
10:29:02,12/1/2021,72.5,7.81,518,176
10:30:05,12/1/2021,72.5,7.81,510,174
10:31:05,12/1/2021,72.5,7.81,512,175
10:32:05,12/1/2021,72.5,7.81,537,174
10:33:08,12/1/2021,72.5,7.81,523,174
10:34:11,12/1/2021,72.5,7.81,527,175
10:35:11,12/1/2021,72.5,7.81,572,175
10:36:11,12/1/2021,72.5,7.81,508,174
10:37:11,12/1/2021,72.5,7.81,534,174
10:38:11,12/1/2021,72.5,7.81,532,174
10:39:11,12/1/2021,72.5,7.81,533,175
10:40:11,12/1/2021,72.5,7.81,519,174
10:41:11,12/1/2021,72.5,7.81,527,174
10:42:14,12/1/2021,72.5,7.82,530,174
10:43:14,12/1/2021,72.5,7.81,498,173
10:44:17,12/1/2021,72.5,7.81,513,174
10:45:17,12/1/2021,72.5,7.81,545,174
10:46:17,12/1/2021,72.5,7.81,538,174
10:47:17,12/1/2021,72.5,7.81,549,173
10:48:20,12/1/2021,72.5,7.81,521,173
10:49:23,12/1/2021,72.5,7.81,526,173
10:50:23,12/1/2021,72.5,7.82,593,173
10:51:23,12/1/2021,72.5,7.82,525,173
10:52:26,12/1/2021,72.5,7.81,498,173
10:53:29,12/1/2021,72.5,7.81,548,173
10:54:32,12/1/2021,72.5,7.81,472,173
10:55:32,12/1/2021,72.5,7.81,519,173
10:56:32,12/1/2021,72.5,7.81,529,173
10:57:32,12/1/2021,72.5,7.82,503,173
10:58:32,12/1/2021,72.5,7.82,503,173
10:59:32,12/1/2021,72.5,7.81,470,173
11:00:35,12/1/2021,72.5,7.82,570,173
11:01:38,12/1/2021,72.5,7.82,544,173
11:02:38,12/1/2021,72.5,7.82,491,172
11:03:41,12/1/2021,72.5,7.82,521,173
11:04:41,12/1/2021,72.5,7.82,523,172
11:05:41,12/1/2021,72.5,7.82,586,172
11:06:41,12/1/2021,72.5,7.82,475,172
11:07:44,12/1/2021,72.5,7.82,578,172
11:08:44,12/1/2021,72.5,7.82,509,172
11:09:44,12/1/2021,72.5,7.82,526,172
11:10:47,12/1/2021,72.5,7.81,519,172
11:11:47,12/1/2021,72.5,7.82,534,172
11:12:50,12/1/2021,72.5,7.82,493,172
11:13:50,12/1/2021,72.5,7.82,520,172
11:14:50,12/1/2021,72.4,7.82,525,172
11:15:50,12/1/2021,72.4,7.82,530,172
11:16:53,12/1/2021,72.4,7.82,591,172
11:17:53,12/1/2021,72.4,7.82,494,172
11:18:56,12/1/2021,72.4,7.82,495,172
11:19:56,12/1/2021,72.4,7.82,428,172
11:20:56,12/1/2021,72.4,7.82,455,172
11:21:56,12/1/2021,72.4,7.82,597,172
11:22:56,12/1/2021,72.4,7.82,518,172
11:23:56,12/1/2021,72.4,7.82,473,171
11:24:56,12/1/2021,72.4,7.82,543,171
11:25:56,12/1/2021,72.4,7.82,518,171
11:26:59,12/1/2021,72.4,7.82,519,171
11:28:02,12/1/2021,72.4,7.82,522,171
11:29:02,12/1/2021,72.4,7.82,493,171
11:30:05,12/1/2021,72.4,7.81,559,171
11:31:05,12/1/2021,72.4,7.81,482,172
11:32:08,12/1/2021,72.4,7.81,547,171
11:33:08,12/1/2021,72.4,7.81,511,171
11:34:08,12/1/2021,72.4,7.8,521,171
11:35:11,12/1/2021,72.4,7.81,536,172
11:36:11,12/1/2021,72.4,7.81,592,171
11:37:14,12/1/2021,72.4,7.81,514,171
11:38:14,12/1/2021,72.4,7.82,524,171
11:39:14,12/1/2021,72.4,7.83,573,171
11:40:14,12/1/2021,72.4,7.83,442,171
11:41:17,12/1/2021,72.4,7.82,524,171
11:42:17,12/1/2021,72.4,7.83,536,171
11:43:17,12/1/2021,72.4,7.83,508,171
11:44:20,12/1/2021,72.4,7.83,478,171
11:45:20,12/1/2021,72.4,7.83,465,170
11:46:20,12/1/2021,72.4,7.82,595,171
11:47:20,12/1/2021,72.4,7.83,549,171
11:48:23,12/1/2021,72.3,7.83,622,170
11:49:23,12/1/2021,72.3,7.83,487,170
11:50:26,12/1/2021,72.3,7.83,548,171
11:51:26,12/1/2021,72.3,7.83,514,171
11:52:26,12/1/2021,72.3,7.82,508,171
11:53:26,12/1/2021,72.3,7.83,539,170
11:54:26,12/1/2021,72.3,7.82,567,170
11:55:26,12/1/2021,72.3,7.83,519,171
11:56:29,12/1/2021,72.3,7.83,561,170
11:57:29,12/1/2021,72.3,7.83,529,170
11:58:32,12/1/2021,72.3,7.83,549,170
11:59:35,12/1/2021,72.3,7.83,521,169
12:00:38,12/1/2021,72.3,7.83,546,170
12:01:41,12/1/2021,72.3,7.83,506,170
12:02:41,12/1/2021,72.3,7.83,522,170
12:03:41,12/1/2021,72.3,7.83,557,170
12:04:44,12/1/2021,72.3,7.83,538,170
12:05:44,12/1/2021,72.3,7.83,523,170
12:06:44,12/1/2021,72.3,7.83,537,170
12:07:47,12/1/2021,72.3,7.83,549,170
